Application_ID,Applicant_Age,Business_Type,Business_Age,Monthly_Business_Revenue,Monthly_Business_Expenses,Monthly_Business_Profit,Existing_Business_EMI,Loan_Amount,Loan_Tenure,Number_of_Employees,Business_Registration,GST_Registration,Annual_Turnover,Business_Location_Type,Loan_Purpose,Collateral_Available,Loan_Approval
BL100000,23,Retail,3.0,128100,69500,56800,3100,1254000,5,2,Registered,Yes,1405000,Rural,Working Capital,Yes,Approved
BL100001,24,IT Services,4.0,192800,161900,34400,8500,447000,2,3,Registered,No,2346000,Rural,New Branch,Yes,Approved
BL100002,44,Manufacturing,6.9,529200,412900,111900,52800,1897000,2,3,Registered,Yes,5898000,Semi Urban,Equipment Purchase,No,Approved
BL100003,54,Retail,2.1,220400,128500,86300,19900,1412000,5,3,Registered,Yes,2685000,Semi Urban,New Branch,No,Approved
BL100004,41,Retail,2.2,350500,288800,64700,15600,939000,7,3,Registered,Yes,4082000,Rural,Working Capital,Yes,Approved
BL100005,37,Transport,15.7,117500,86600,29800,0,892000,3,1,Registered,Yes,1297000,Urban,Working Capital,No,Rejected
BL100006,60,Manufacturing,2.8,141000,78700,65300,20300,1807000,3,0,Registered,Yes,1543000,Semi Urban,Business Expansion,Yes,Rejected
BL100007,35,Restaurant,3.5,132500,102200,33800,3800,751000,3,1,Registered,Yes,1684000,Rural,Working Capital,Yes,Rejected
BL100008,35,Manufacturing,3.0,176500,136800,33600,12100,798000,2,3,Registered,Yes,1924000,Urban,Working Capital,Yes,Rejected
BL100009,35,Retail,3.0,296500,141100,155400,73100,4187000,3,5,Registered,Yes,3895000,Semi Urban,Technology Upgrade,No,Rejected
BL100010,54,Retail,2.2,162500,59500,97500,9600,1424000,3,0,Registered,No,1881000,Urban,Inventory,No,Rejected
BL100011,45,IT Services,17.8,165800,104300,61900,6400,1158000,10,0,Registered,Yes,2180000,Semi Urban,Technology Upgrade,No,Approved
BL100012,45,Construction,4.2,281700,165100,117400,32900,1701000,3,1,Registered,Yes,3315000,Rural,Inventory,Yes,Approved
BL100013,43,Retail,1.1,146700,112100,35400,300,970000,1,1,Unregistered,No,1864000,Semi Urban,Working Capital,Yes,Rejected
BL100014,36,Retail,5.3,124900,74300,46600,10000,959000,2,0,Registered,No,1401000,Urban,Equipment Purchase,No,Rejected
BL100015,37,Education,11.2,162500,98100,69600,10900,1355000,10,2,Registered,Yes,1834000,Semi Urban,Inventory,Yes,Approved
BL100016,31,Education,6.0,594200,545200,56900,10700,958000,7,11,Registered,Yes,7294000,Semi Urban,Inventory,Yes,Approved
BL100017,36,Other Services,1.8,337200,285200,47600,0,940000,5,4,Registered,No,4407000,Urban,Inventory,Yes,Approved
